#OTU ID	BuuuuA	BuuuuB	BuuuuC	BuuuuD	C10uuuuA	C10uuuuB	C10uuuuC	C10uuuuD	C1uuuuA	C1uuuuB	C1uuuuC	C1uuuuD	C2uuuuA	C2uuuuB	C2uuuuC	C2uuuuD	C3uuuuA	C3uuuuB	C3uuuuC	C3uuuuD	C4uuuuA	C4uuuuB	C4uuuuC	C4uuuuD	C5uuuuA	C5uuuuB	C5uuuuC	C5uuuuD	C6uuuuA	C6uuuuB	C6uuuuC	C6uuuuD	C7uuuuA	C7uuuuB	C7uuuuC	C7uuuuD	C8uuuuA	C8uuuuB	C8uuuuC	C8uuuuD	C9uuuuA	C9uuuuB	C9uuuuC	C9uuuuD	D10uuuuA	D10uuuuB	D10uuuuC	D10uuuuD	D1uuuuA	D1uuuuB	D1uuuuC	D1uuuuD	D2uuuuA	D2uuuuB	D2uuuuC	D2uuuuD	D3uuuuA	D3uuuuB	D3uuuuC	D3uuuuD	D4uuuuA	D4uuuuB	D4uuuuC	D4uuuuD	D5uuuuA	D5uuuuB	D5uuuuC	D5uuuuD	D6uuuuA	D6uuuuB	D6uuuuC	D6uuuuD	D7uuuuA	D7uuuuB	D7uuuuC	D7uuuuD	D8uuuuA	D8uuuuB	D8uuuuC	D8uuuuD	D9uuuuA	D9uuuuB	D9uuuuC	D9uuuuD
Zotu1	15	187	110	87	15631	31972	25365	32689	14301	9382	35455	25822	13662	8948	32288	30279	17232	14358	28851	35416	21498	29730	15775	30179	15790	35882	20979	29536	19662	15223	38693	34066	18262	22871	12018	17292	14653	30538	4184	13761	16544	22542	20139	28414	24129	29836	21347	16789	26936	16006	26489	28716	26294	24259	29631	32209	22004	27252	37238	42444	25437	33033	9866	50574	17777	45469	9145	18230	22002	26947	7532	38926	36543	23736	7110	19	12836	21947	21456	25477	24808	35132	28941	15873
Zotu10	0	3	12	9	14953	3288	1741	1172	9645	7347	5858	4813	12699	2579	3462	5123	2462	6222	2495	2770	2284	2035	2478	5839	5613	1489	2326	5383	7940	4463	1936	4197	8075	4986	1648	580	16216	2436	3642	1724	7619	11816	609	301	34	3	7	713	1797	7232	1881	25	3378	8940	1600	2	14304	4546	5434	975	2348	955	4514	1515	2372	2995	5865	2952	7	6652	6013	101	2045	174	5841	3	3	235	2863	3438	8331	364	1701	851
Zotu100	0	0	0	0	0	2	0	2	5	142	0	15	4496	0	12	0	0	0	17	8	0	1	13	6	0	0	0	3	1	0	1	3	0	0	0	6	0	1	21	9	0	6	2	4	1302	0	0	163	0	4	6	0	4	0	2	5	0	0	188	6	0	0	14	17	2286	1	0	2	169	4	1	0	0	327	0	0	0	397	119	1461	2707	778	98	149
Zotu101	0	0	0	1	2	21	2	47	87	286	53	552	146	668	188	80	220	1051	423	100	1630	149	55	869	409	258	18	518	4	0	137	51	727	0	0	17	13	7	1	2	3	54	0	62	111	128	11	707	2	0	0	0	238	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	437	0	0	1746	2	226	0	0	38	304	0	48	339	576	14	587
Zotu102	0	45	0	0	37	188	36	139	7	3	138	40	28	446	3	78	107	832	2	10	772	17	5	35	1359	2	58	48	1758	62	48	12	1614	526	6	4	20	10	0	22	2123	47	1	3	32	287	17	8	3	28	17	438	182	10	75	659	213	44	43	312	9	1	18	28	63	23	22	109	0	8	31	122	7	3	42	0	477	0	21	208	21	1	3	5
Zotu103	0	0	0	0	0	0	35	1	0	0	6	0	0	11	0	0	2	19	0	0	3	0	0	0	13	0	0	2	23	0	0	0	17	57	0	464	0	0	0	0	19	0	0	155	0	0	54	0	0	0	1	13240	3	0	0	3	0	0	5	8	0	0	0	0	0	0	0	2	1	0	0	9	0	0	0	0	0	0	6	0	0	0	1	0
Zotu104	1	0	0	2	11	20	214	25	92	340	128	73	491	178	45	428	329	252	46	203	22	32	32	92	49	53	14	99	606	29	44	185	37	327	47	42	25	86	155	350	514	76	15	88	7	87	84	287	59	49	114	2271	392	181	15	128	34	10	362	350	69	61	35	272	322	31	48	124	0	224	55	16	65	15	39	0	1046	12	336	48	598	13	111	334
Zotu105	0	0	16	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	9	301	0	541	448	592	0	155	1030	687	1	139	1664	551	1	87	759	503	0	726	433	1304	0	115	324	1086	0	0	452	0	0	0	1439	368	0	2	16	250
Zotu106	0	0	2	0	287	98	17	146	395	155	2	67	429	0	92	38	773	0	91	63	0	213	45	107	0	117	48	80	827	228	38	70	0	35	31	36	680	409	94	47	676	403	38	32	997	136	249	95	104	92	47	126	670	300	35	74	305	89	132	49	112	161	70	18	178	220	58	22	228	243	62	33	155	122	44	0	956	40	94	30	650	81	106	76
Zotu107	0	40	3	0	9	118	50	167	162	327	1010	747	316	231	171	237	83	424	359	176	5	367	56	1536	2	496	17	739	61	6	262	136	2	13	5	18	133	106	31	2	64	111	51	41	462	164	5	19	43	3	1	0	88	8	18	0	1	13	7	10	29	13	0	0	0	0	0	0	1833	16	0	28	42	161	0	0	258	521	1	3	482	917	7	11
Zotu108	0	0	0	1	184	303	414	59	223	148	62	157	93	21	193	150	132	37	492	97	68	353	207	113	91	415	482	203	246	275	324	117	83	378	45	53	455	172	337	52	357	449	294	76	42	8	24	14	29	448	291	334	89	208	63	54	233	595	278	72	57	97	321	170	260	402	123	150	1	178	101	6	34	49	116	0	111	43	255	80	49	51	86	33
Zotu109	1	0	0	0	47	2	0	0	1	1	2087	23	1	393	0	0	81	939	3	10	671	7	0	16	1175	0	0	9	2343	154	0	8	1399	637	0	1	310	3	1	2	1985	1	0	0	21	123	67	0	0	0	0	32	123	0	0	1	0	0	1	0	0	0	0	2	4	0	0	3	18	0	0	557	0	0	0	0	595	4	1	1	2	0	5	0
Zotu11	0	22	52	7	1771	1044	3879	2358	3736	2988	2814	1967	1364	2774	4594	6173	5007	4494	2647	6276	4165	2111	2382	1645	3764	2293	1865	931	8104	546	2439	5270	2965	2592	2033	1805	3551	1659	4015	1358	5873	4436	708	782	5946	1542	104	3498	510	5891	1290	13646	12253	1183	1893	2214	3168	2188	6469	6308	598	600	6623	3297	2712	2222	696	6368	763	1416	717	2325	571	571	499	16	5203	1012	5407	5219	1264	1612	1665	3050
Zotu110	0	0	0	0	5	14	0	746	161	24	301	1	0	3	2	0	164	1	141	6	650	3	1	2	872	381	0	0	133	1	0	9	891	294	27	8	17	338	11	135	106	5	18	15	12	18	214	10	1476	1	0	78	192	24	5	2	313	33	4	133	1188	59	186	175	166	3	9	77	28	12	9	65	1960	3	12	0	7	38	0	36	1147	53	44	16
Zotu111	2	0	0	0	427	4	26	44	115	19	0	0	215	0	0	244	546	0	64	240	0	33	0	0	0	43	0	0	2228	221	0	245	0	141	14	2	454	35	35	43	1892	90	0	0	0	12	873	2	185	37	15	113	828	159	4	0	877	35	4	0	215	2	65	12	234	22	68	170	0	100	50	1225	268	0	67	0	0	0	5	19	173	0	2	5
Zotu112	0	13	0	0	392	70	210	180	546	443	167	209	617	77	186	117	431	134	458	176	3	73	92	254	2	136	150	228	272	101	155	254	3	202	151	106	259	33	208	146	268	154	24	64	4	0	55	95	85	54	149	0	640	339	88	0	381	216	67	58	128	88	27	114	136	12	17	85	0	283	16	26	166	40	20	0	59	89	61	146	1010	145	254	74
Zotu113	1	0	0	0	146	199	147	43	204	230	112	330	290	124	210	213	531	251	300	494	95	73	219	329	174	61	134	506	552	54	120	629	109	218	92	156	272	54	55	50	460	189	56	107	17	58	151	89	32	32	62	50	493	85	73	78	130	91	63	102	14	30	61	160	64	39	30	77	18	69	58	104	40	8	44	0	697	5	66	368	478	8	2	103
Zotu114	0	0	0	1	1	86	37	32	95	75	41	56	30	235	98	161	433	518	38	145	48	186	82	49	174	44	14	77	111	4	9	181	124	251	356	82	584	386	474	35	142	348	149	97	122	367	56	26	0	1529	22	83	508	76	3	41	69	293	329	39	0	0	59	124	40	697	2	239	12	69	0	63	1	36	2	0	258	125	282	99	13	211	135	34
Zotu115	0	0	0	0	441	131	117	24	389	104	118	89	486	124	84	132	593	217	95	118	215	103	119	141	508	52	79	119	482	73	36	187	585	333	78	80	226	100	52	39	428	368	8	20	2	15	131	119	24	220	50	102	713	182	43	17	290	107	71	85	29	43	113	25	152	88	49	82	6	201	68	165	55	0	45	0	329	2	71	270	717	3	113	131
Zotu116	0	0	0	0	376	127	78	81	106	96	180	81	319	7	176	137	119	26	78	317	63	54	97	58	137	156	159	37	337	131	119	327	159	200	101	475	74	73	220	105	437	121	114	116	140	43	105	17	54	528	81	324	275	235	118	80	161	136	309	184	72	38	286	175	409	166	79	285	13	151	48	35	82	29	64	0	115	115	237	16	579	139	18	16
Zotu117	0	0	0	3	26	268	56	262	25	43	159	33	7	57	105	82	8	98	154	45	217	101	45	20	200	93	49	22	77	3	118	40	180	153	765	42	25	146	8	10	92	63	51	75	51	393	57	23	43	778	164	25	12	171	127	131	73	755	97	89	30	577	25	266	27	2794	126	24	28	138	69	150	39	46	106	0	92	108	54	37	14	180	66	35
Zotu118	0	12	0	4	22	77	300	85	7	218	0	709	374	0	384	62	252	0	333	323	0	15	271	979	0	10	99	787	118	1	60	409	0	173	58	375	2	4	69	787	95	86	21	80	0	2	10	331	33	22	166	0	273	521	25	36	366	32	80	74	21	64	37	17	109	9	258	75	2	433	256	116	20	0	294	0	213	0	60	0	94	0	11	317
Zotu119	0	0	0	0	512	12	6	22	118	22	17	13	1013	0	3	17	121	2	10	100	12	13	2	20	12	70	14	31	14	74	21	83	19	21	10	5	249	5	11	17	23	38	5	7	117	4	18	4	269	78	41	5	146	8	1	9	96	17	145	12	243	17	25	32	6526	30	23	13	0	4	26	10	347	2	27	0	597	1	131	33	19	0	6	2
Zotu12	3	3	22	7	6919	595	681	2136	817	774	9667	4194	86	2663	2140	3459	2749	3857	4383	4219	1639	1909	1637	4638	2215	1950	193	5392	2616	116	211	4919	2467	9293	3992	6851	669	1463	4932	4550	1839	1599	926	4035	0	1499	2961	5014	850	842	1955	4069	4692	3287	2396	2621	580	3798	3358	3070	1388	2175	2287	3521	1096	488	4249	13461	19	3251	3607	1529	1132	2	3945	2	3796	5	2134	1207	2058	2	491	6268
Zotu120	0	0	0	0	43	9	0	1	446	12	0	25	52	6	1	17	12	1	2	0	1	17	0	49	1	19	2	36	112	94	6	0	3	0	583	0	134	6	2	1	70	10	1	0	1264	2	0	0	1104	84	4	0	20	100	0	0	979	31	0	0	1724	73	0	1	99	67	3	0	69	103	1	2	1293	17	0	0	12	741	0	158	44	1209	991	0
Zotu121	0	0	9	0	17	0	0	763	63	30	2612	8	51	165	64	2	0	184	948	311	4	0	39	2	3	7	0	9	0	0	0	306	6	0	0	0	48	13	70	172	0	0	0	0	431	0	0	0	0	1	33	346	0	0	0	0	0	0	1	144	0	0	1166	66	0	0	0	646	251	0	0	0	0	406	0	0	1	869	0	7	0	1126	42	0
Zotu122	0	0	0	0	9	0	4	10	0	0	0	34	4	0	18	0	0	0	7	3045	0	1	5	70	0	0	0	52	7	0	0	3340	0	1	7	25	0	3	5	1	1	4	0	8	1	9	0	0	48	0	0	0	0	1842	0	0	38	0	3	0	83	0	0	73	655	0	249	0	0	1358	208	0	63	0	210	0	2	2	2	13	0	0	73	0
Zotu123	0	0	5	0	50	93	213	158	62	56	265	155	101	50	153	226	116	102	201	466	49	24	75	189	73	53	89	197	231	77	203	349	103	775	83	120	36	38	121	149	189	67	27	170	196	101	72	218	19	60	101	92	167	240	75	144	151	88	149	369	22	64	81	351	124	42	102	204	58	363	72	192	31	39	101	0	90	50	163	229	110	102	104	250
Zotu124	0	0	0	0	0	517	186	36	95	68	25	68	90	17	66	144	8	36	104	157	75	169	11	69	51	410	12	91	25	0	26	148	53	344	9	55	6	76	9	29	10	157	135	80	248	48	47	117	362	65	90	87	6	253	257	18	33	146	142	301	313	46	167	135	33	144	91	100	99	268	46	1125	350	194	81	0	4	164	85	1518	120	273	100	138
Zotu125	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1618	79	145	1393	1	0	0	33	0	1	0	581	1	1	0	1092	1	0	0	2	0	0	1	3	229	0	0	1340	0	221	0	0	1	267	0	722	1	443	1170	1576
Zotu126	0	0	8	0	15	0	9	5	0	0	0	37	1	0	6	0	0	0	7	2650	0	1	5	49	0	0	0	36	2	1	0	2932	0	3	15	8	0	2	6	0	1	3	1	5	5	3	1	0	30	0	0	1	0	1656	0	0	24	4	2	5	56	0	0	87	532	0	190	2	0	1065	143	0	55	0	204	0	3	2	0	9	0	1	80	0
Zotu127	0	5	0	0	0	106	519	196	214	158	107	124	171	0	272	243	6	2	164	297	0	59	130	107	0	271	201	73	437	2	129	222	0	319	17	93	0	43	219	127	399	147	66	49	18	3	119	67	67	171	161	3	10	343	222	34	37	300	191	128	98	142	193	193	70	29	66	166	17	385	46	154	93	7	65	0	52	43	129	72	117	48	98	57
Zotu128	0	0	0	0	175	133	746	28	0	155	42	215	3	36	301	277	69	86	1	77	73	0	127	163	53	8	18	93	403	275	13	99	88	313	10	78	1	9	69	33	389	1	1	49	119	57	275	18	3	0	255	54	98	507	196	139	447	271	271	165	4	20	0	181	132	0	102	272	0	561	83	32	2	1	96	0	125	8	207	283	96	11	29	17
